,Company Name,Industry,stock
418,Sterlite Technologies Ltd.,Telecommunication,STLTECH.NS
419,Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS
420,Sun Pharma Advanced Research Company Ltd.,Healthcare,SPARC.NS
421,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA.NS
422,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV.NS
423,Sundaram Finance Ltd.,Financial Services,SUNDARMFIN.NS
424,Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST.NS
425,Sunteck Realty Ltd.,Realty,SUNTECK.NS
426,Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT.NS
427,Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS
428,Suven Pharmaceuticals Ltd.,Healthcare,SUVENPHAR.NS
429,Suzlon Energy Ltd.,Capital Goods,SUZLON.NS
430,Swan Energy Ltd.,Realty,SWANENERGY.NS
431,Syngene International Ltd.,Healthcare,SYNGENE.NS
432,TCI Express Ltd.,Services,TCIEXP.NS
433,TCNS Clothing Co. Ltd.,Textiles,TCNSBRANDS.NS
434,TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG.NS
435,TV18 Broadcast Ltd.,Media Entertainment & Publication,TV18BRDCST.NS
436,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS
437,Tamilnad Mercantile Bank Ltd.,Financial Services,TMB.NS
438,Tanla Platforms Ltd.,Information Technology,TANLA.NS
